"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.151022000E0,-1.949490738E1,2.282189941E1,-4.089711761E1,5.072932816E1
1.161031000E0,-1.820514107E1,2.397913170E1,-4.082938766E1,5.072932895E1
1.171040000E0,-1.761742020E1,2.454213524E1,-4.075260544E1,5.072932827E1
1.181048000E0,-1.761742020E1,2.454213524E1,-4.075260544E1,5.072932827E1
1.191047000E0,-1.677406120E1,2.544091034E1,-4.055682373E1,5.072933076E1
1.201066000E0,-1.659422112E1,2.575956154E1,-4.042946625E1,5.072933004E1
1.211074000E0,-1.659422112E1,2.575956154E1,-4.042946625E1,5.072933004E1
1.221084000E0,-1.660736656E1,2.621730232E1,-4.012870789E1,5.072932842E1
1.231094000E0,-1.664577293E1,2.642043304E1,-3.997929001E1,5.072932750E1
1.241102000E0,-1.664577293E1,2.642043304E1,-3.997929001E1,5.072932750E1
1.251111000E0,-1.649787903E1,2.683825684E1,-3.976169968E1,5.072932883E1
1.261120000E0,-1.639800072E1,2.704668045E1,-3.966166306E1,5.072932946E1
1.271128000E0,-1.636300087E1,2.725837326E1,-3.953097916E1,5.072933100E1
1.281120000E0,-1.642589188E1,2.746755791E1,-3.935972595E1,5.072932769E1
1.291147000E0,-1.660731697E1,2.766004562E1,-3.914822769E1,5.072932911E1
1.301155000E0,-1.660731697E1,2.766004562E1,-3.914822769E1,5.072932911E1
1.311148000E0,-1.720949745E1,2.796016121E1,-3.867204666E1,5.072932693E1
1.321173000E0,-1.752556801E1,2.804743767E1,-3.846635818E1,5.072933082E1
1.331181000E0,-1.752556801E1,2.804743767E1,-3.846635818E1,5.072933082E1
1.341179000E0,-1.799850464E1,2.811981964E1,-3.819416809E1,5.072932980E1
1.351200000E0,-1.814595795E1,2.815988541E1,-3.809474945E1,5.072932950E1
1.361208000E0,-1.814595795E1,2.815988541E1,-3.809474945E1,5.072932950E1
1.371208000E0,-1.833649445E1,2.826966095E1,-3.792181396E1,5.072932814E1
1.381227000E0,-1.867252159E1,2.760140610E1,-3.824871445E1,5.072932917E1
1.391235000E0,-1.867252159E1,2.760140610E1,-3.824871445E1,5.072932917E1
1.401236000E0,-1.979214859E1,2.657016754E1,-3.841564560E1,5.072932856E1
1.411253000E0,-2.000228691E1,2.621226120E1,-3.855244446E1,5.072933168E1
1.421261000E0,-2.000228691E1,2.621226120E1,-3.855244446E1,5.072933168E1
1.431265000E0,-2.030443954E1,2.574867821E1,-3.870658875E1,5.072932788E1
